Word,Information Gain
abstractresource,0.18020320566840334
abstracttask,0.18020320566840334
accept,0.18014962766913256
access,-0.06980653966049527
accessible,0.18020320566840334
accessibleappids,0.18020320566840334
accessibleapplicationdeployments,0.18020320566840334
accessiblecomphostids,0.18020320566840334
accessibletokenids,0.18020320566840334
accesstoken,0.18020320566840334
account,0.18009601465309139
acronym,0.18020320566840334
action,0.18060896681921407
active,0.18017642104370887
adaptor,-0.15597716147083268
adaptorsupport,0.18020320566840334
add,0.06125139443522959
addall,0.18020320566840334
addconfig,0.18020320566840334
added,0.18020320566840334
addgateway,0.18020320566840334
addhostkeyverifier,0.18020320566840334
addlines,0.18020320566840334
addmodification,0.18020320566840334
addoption,0.18020320566840334
addresourcejobmanager,0.18020320566840334
address,0.18014962766913256
addresses,0.18020320566840334
addressstr,0.18020320566840334
addscpdatamovementdetails,0.18020320566840334
addshutdownhook,0.18020320566840334
addsshjobsubmissiondetails,0.18020320566840334
addtask,0.18020320566840334
addtaskconfigs,0.18020320566840334
adduserstogroup,0.18020320566840334
admin,0.04448943255970422
adminid,0.18020320566840334
admins,0.17998868343260066
adminserviceclient,0.18020320566840334
adminsgroupid,0.18020320566840334
adminurl,0.18020320566840334
adminusersgroup,0.18020320566840334
affiliation,0.18020320566840334
after,0.18020320566840334
agentadaptor,0.18020320566840334
agentadaptorcache,0.18020320566840334
agentadaptorop,0.18020320566840334
agentexception,0.18020320566840334
agentstore,0.18020320566840334
ahead,0.18060896681921407
aiaravata,0.17982742311183592
airavata,0.08665657237657837
airavataapiserver,0.18020320566840334
airavataautoschedule,0.18020320566840334
airavataclient,0.18020320566840334
airavataclientexception,0.18020320566840334
airavataclientfactory,0.18020320566840334
airavataexception,0.18020320566840334
airavataexperimentid,0.18020320566840334
airavatainternalgatewayid,0.18020320566840334
airavatainternaluserid,0.18020320566840334
airavatasecurityexception,0.18020320566840334
airavatasecuritymanager,0.18020320566840334
airavatasystemexception,0.18020320566840334
airavatatask,0.18020320566840334
airavatautils,0.18020320566840334
airavataworkflow,0.18020320566840334
airavataworkflowentity,0.18020320566840334
airavatazkutils,0.18020320566840334
alaskan,0.18020320566840334
aliases,0.18020320566840334
alive,0.18017642104370887
all,-0.008166714779366313
allexperimentcount,0.18020320566840334
allexperiments,0.18020320566840334
allocate,0.18014962766913256
allocation,0.18020320566840334
allocationprojectnumber,0.18020320566840334
allowed,0.18020320566840334
allowedbatchqueues,0.18020320566840334
alltasks,0.18020320566840334
already,-0.13790469096021818
alternative,0.18020320566840334
alternativescphostname,0.18020320566840334
alternativesshhostname,0.18020320566840334
am,0.18014962766913256
american,0.18020320566840334
an,-0.13760538831054764
and,0.028307333910074173
any,-0.10071927391234142
apache,0.14581447872624123
api,-0.13767487350261126
apihost,0.18020320566840334
apimethod,0.18020320566840334
apiport,0.18020320566840334
app,0.18017642104370887
appcatalog,0.18009601465309139
appcatalogexception,0.18020320566840334
appcatalogjpautils,0.18020320566840334
appcatalogquerygenerator,0.18020320566840334
appcatalogresourcetype,0.18020320566840334
appcatalogutils,0.18020320566840334
appdepdescription,0.18020320566840334
appdeploymentdescription,0.18020320566840334
appdeploymentid,0.18020320566840334
append,0.08988467167842568
appinterfaceid,0.18020320566840334
application,0.17896199093155551
applicationargument,0.18020320566840334
applicationdeployment,0.18020320566840334
applicationdeploymentdescription,0.18020320566840334
applicationdeploymentdescriptionlist,0.18020320566840334
applicationdeploymententity,0.18020320566840334
applicationdeploymentid,0.18020320566840334
applicationdescription,0.18020320566840334
applicationid,0.18020320566840334
applicationinputs,0.18020320566840334
applicationinterface,0.18020320566840334
applicationinterfacedescription,0.18020320566840334
applicationinterfacedescriptionlist,0.18020320566840334
applicationinterfaceentity,0.18020320566840334
applicationinterfaceid,0.18020320566840334
applicationmodule,0.18020320566840334
applicationmoduleentity,0.18020320566840334
applicationmodulerepository,0.18020320566840334
applicationmodules,0.18020320566840334
applicationname,0.18020320566840334
applicationoutputname,0.18020320566840334
applicationoutputs,0.18020320566840334
applicationparallelismtype,0.18020320566840334
applications,0.18001552939707513
applicationsettings,0.18020320566840334
applicationsettingsexception,0.18020320566840334
applicationstatus,0.18020320566840334
appmoduledescription,0.18020320566840334
appmoduleid,0.18020320566840334
appmodulename,0.18020320566840334
appmoduleversion,0.18020320566840334
approval,0.18020320566840334
approved,0.18020320566840334
appscripts,0.18020320566840334
archive,0.18020320566840334
archivetask,0.18020320566840334
archiveworkingdirectory,0.18020320566840334
are,-0.16619441790912276
argcopy,0.18020320566840334
args,-0.12480724962970896
argument,0.18017642104370887
array,0.18004236658576642
arraylist,0.18020320566840334
arrays,0.18020320566840334
as,-0.10071927391234142
asc,0.18020320566840334
aslist,0.18020320566840334
assigned,0.18020320566840334
assubclass,0.18020320566840334
at,-0.008166714779366313
atleast,0.18060896681921407
attachversiondata,0.18020320566840334
attribute,0.18014962766913256
auth,0.18012282554036435
authenticationexception,0.18020320566840334
authenticationtoken,0.18020320566840334
authenticator,0.18101587797509427
authmethods,0.18020320566840334
authorization,0.18014962766913256
authorizationexception,0.18020320566840334
authtoken,0.18020320566840334
authzcacheindex,0.18020320566840334
authztoken,0.18020320566840334
auto,0.18020320566840334
autoack,0.18020320566840334
autodock,0.18020320566840334
available,0.18017642104370887
base,0.18020320566840334
based,-0.16619441790912276
basicdatasource,0.18020320566840334
batch,0.1804059428032504
batchqueue,0.18020320566840334
batchqueueemailsenders,0.18020320566840334
batchqueuepk,0.18020320566840334
batchqueueresourcepolicies,0.18020320566840334
batchqueueresourcepolicy,0.18020320566840334
batchqueues,0.18020320566840334
bazooka,0.18014962766913256
be,-0.04487037499056895
because,-0.0699024032202743
been,0.18014962766913256
before,0.18009601465309139
begin,0.18014962766913256
bin,-0.13790469096021818
binary,0.18020320566840334
binarydata,0.18020320566840334
bind,0.18017642104370887
bitfield,0.1782795048504982
block,0.18020320566840334
bootstrap,0.18020320566840334
both,0.18020320566840334
bq,0.18014962766913256
broker,-0.024812970290609915
buf,0.18014962766913256
buffer,0.18009601465309139
bufferedreader,0.18020320566840334
bufferindex,0.18020320566840334
bug,0.18014962766913256
bugzilla,0.18014962766913256
build,-0.14489924686483274
builder,0.18009601465309139
but,0.17811486841464327
by,0.18017642104370887
bytearrayoutputstream,0.18020320566840334
bytebuffer,0.18020320566840334
bytecount,0.18020320566840334
bytes,-0.0699024032202743
bytestolong,0.18020320566840334
cal,0.18014962766913256
calendar,0.18020320566840334
call,0.17819722745558408
callback,0.18020320566840334
can,0.1799080928412002
cancel,0.18017642104370887
canceled,0.18020320566840334
canceling,0.18020320566840334
cancelled,0.1804059428032504
cancelledexperimentcount,0.18020320566840334
cancelledexperiments,0.18020320566840334
cancreateaccount,0.18020320566840334
caninstallsshkey,0.18020320566840334
cannot,0.18014962766913256
canonical,0.18020320566840334
canonicalscratchlocation,0.18020320566840334
cardinality,0.18020320566840334
cascadepermission,0.18020320566840334
cascading,0.18020320566840334
cast,0.18014962766913256
castother,0.18020320566840334
catalog,0.17980051559558635
category,0.18017642104370887
cd,0.18017642104370887
cert,0.18014962766913256
certificate,0.18020320566840334
certificatecredential,0.18020320566840334
certificates,-0.16619441790912276
cgi,0.18014962766913256
change,0.18017642104370887
channel,-0.13790469096021818
channelexec,0.18020320566840334
character,0.18017642104370887
charat,0.18020320566840334
check,0.13861951531235978
checkexists,0.18020320566840334
chessis,0.18020320566840334
chessisnumber,0.18020320566840334
child,0.18020320566840334
childid,0.18020320566840334
childparserid,0.18020320566840334
children,0.18009601465309139
childtype,0.18020320566840334
cipher,0.18014962766913256
citizen,0.18020320566840334
claims,0.18020320566840334
claimsmap,0.18020320566840334
classfield,0.18020320566840334
classname,0.18020320566840334
classnameconstant,0.18020320566840334
classstr,0.18020320566840334
clean,0.18017642104370887
cleanup,-0.12480724962970896
clear,0.18012282554036435
cli,0.18014962766913256
client,-0.14549179582371746
clientenvironment,0.18020320566840334
clientid,0.18020320566840334
clients,0.18017642104370887
clientsecret,0.18020320566840334
close,0.09318539774890716
cloud,0.18020320566840334
cloudjobsubmission,0.18020320566840334
cloudjobsubmissionentity,0.18020320566840334
cluster,0.18012282554036435
clusterstatusmonitorjobscheduler,0.18020320566840334
cmd,0.18017642104370887
cmds,0.18020320566840334
cn,0.18014962766913256
cnxnfactory,0.18020320566840334
code,0.18020320566840334
collect,-0.10923619205450896
collection,0.18020320566840334
collections,0.18020320566840334
collectors,0.18020320566840334
